S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
148,17.,Characteristics of Adults (age 15-49 years),Men with 10 or more years of schooling (%),59.5,42.5,47.9,51.3,Andhra Pradesh
149,18.,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),33.9,15.4,21.0,na,Andhra Pradesh
150,19.,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),65.1,41.5,48.8,na,Andhra Pradesh
151,20.,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),21.7,32.9,29.3,33.0,Andhra Pradesh
152,21.,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),13.1,15.2,14.5,15.8,Andhra Pradesh
153,22.,Marriage and Fertility,Total fertility rate (children per woman),1.5,1.8,1.7,1.8,Andhra Pradesh
154,23.,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.3,14.1,12.6,11.8,Andhra Pradesh
155,24.,Marriage and Fertility,Adolescent fertility rate for women age 15-19 years,40,80,67,83,Andhra Pradesh
156,25.,"Infant and Child Mortality Rates (per 1,000 live births)",Neonatal mortality rate (NNMR),14.4,22.1,19.9,23.6,Andhra Pradesh
157,26.,"Infant and Child Mortality Rates (per 1,000 live births)",Infant mortality rate (IMR),29.8,30.4,30.3,34.9,Andhra Pradesh
158,27.,"Infant and Child Mortality Rates (per 1,000 live births)",Under-five mortality rate (U5MR),33.7,35.8,35.2,40.8,Andhra Pradesh
159,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),70.8,71.2,71.1,69.5,Andhra Pradesh
160,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),70.3,71.1,70.8,69.4,Andhra Pradesh
161,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),68.3,70.2,69.6,68.3,Andhra Pradesh
162,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),0.6,0.4,0.4,0.6,Andhra Pradesh
